stock1,stock2,coint_score,pvalue,correlation
ECL,STT,-1.9888724231540118,0.534357308964029,-0.03936074272515682
FRT,MDT,-1.9888559572734839,0.5343658528156845,0.1515405911941778
AIG,TGT,-1.9887707701447768,0.5344100545092806,0.25827403105414887
PNC,SBAC,-1.988764033833835,0.5344135498024518,0.5020417506307412
PAYX,TEL,-1.9887635060555555,0.5344138236524382,0.8645905463642799
IQV,USB,-1.9887579897861687,0.5344166858950996,0.5133566793316995
CPRT,CVX,-1.988733058633329,0.5344296219605069,0.27862993229062344
APTV,KEYS,-1.9887308789822413,0.534430752916752,0.660316257040791
CAG,DD,-1.988721460802923,0.5344356397255192,0.10532350093640853
AMD,HBAN,-1.9886942322506371,0.534449767754109,0.2184212050651908
BXP,URI,-1.9886784565925488,0.5344579532102357,-0.13627352879519392
EXPE,SRE,-1.9886628509598843,0.5344660504239475,0.18487562743712344
FICO,ULTA,-1.9886497847926423,0.5344728299815956,0.5021775443897799
BXP,ES,-1.9886423500468895,0.5344766875931771,-0.19074082434190573
EL,IVZ,-1.9886285872041851,0.5344838286045647,0.25383215272161547
CBRE,PGR,-1.9885955869899108,0.5345009510812069,0.7699593684695628
IDXX,ZTS,-1.9885618196017838,0.5345184715121215,0.9411543701774138
CSX,INCY,-1.98853663065622,0.5345315408951292,-0.14695438002202368
COST,GD,-1.9884166484128856,0.5345937933690458,0.49522324811206575
EXPD,WEC,-1.9884150027809004,0.5345946471919086,0.7075761307372279
AWK,ETR,-1.988396807460871,0.534604087670494,0.8592314302955673
INTC,RTX,-1.988391759871152,0.5346067065618652,-0.26938401816988927
KMB,URI,-1.9883911761445208,0.5346070094224336,0.45463296242503776
LDOS,SPG,-1.98837368259706,0.5346160857556639,-0.3706693130376124
APTV,MNST,-1.9883726561330684,0.5346166183242749,0.7111304093527502
BMY,XEL,-1.9883484007487509,0.53462920291381,0.6523456963277894
ESS,PYPL,-1.9883426383678884,0.5346321926421156,0.3418128382460076
AMAT,NEM,-1.9883405665101166,0.5346332675949457,0.809523017704249
HPE,PCAR,-1.9883098801704053,0.5346491887042021,0.15632390320568482
MCO,VEEV,-1.9882824475083263,0.5346634216238381,0.8977237799977451
MLM,MU,-1.988261032788446,0.5346745322004794,0.8341910142904224
CSGP,EXR,-1.988258932395046,0.5346756219431578,0.6576606539674026
IBKR,UAL,-1.9882469834010634,0.534681821406943,-0.08656858546485574
AMD,T,-1.9882383914605508,0.534686279131928,0.15855944587158152
MTD,SMCI,-1.9882133979142163,0.5346992464040778,0.8433451846165788
MCHP,RF,-1.9882035677288907,0.5347043465327684,0.7423075367561845
FDX,KDP,-1.988178116978008,0.5347175509335517,0.14382225329113202
ODFL,YUM,-1.9881706370869479,0.5347214316519303,0.801020216045749
BKR,NWS,-1.9881646446966208,0.534724540621279,0.472062602704641
ERIE,ZTS,-1.988137013949444,0.5347388759516343,0.7188202377628998
SLB,TRMB,-1.9881259949099677,0.5347445928089897,-0.14617728537845023
IQV,MU,-1.9881192751397803,0.5347480791299565,0.7393696511554484
AVB,STE,-1.9880195209666576,0.5347998326622855,0.7057607119420184
CRM,DOV,-1.988007084318703,0.5348062848653019,0.78201935264136
DHI,STZ,-1.9879788992801306,0.5348209073703563,0.6523135112666418
ABT,O,-1.9879771895417948,0.5348217943867883,0.7208863716416091
CINF,VLO,-1.987884924232617,0.5348696614629905,0.34844437614105844
ESS,UDR,-1.9878830765541853,0.534870620027369,0.9624825832325681
APA,VTRS,-1.9878586323959808,0.5348833014795035,0.24990441071741162
GWW,QCOM,-1.9878445036213097,0.5348906313607549,0.8473056713558862
FSLR,SCHW,-1.987819914692025,0.5349033878330732,0.7211451217903317
CVS,PODD,-1.987807112701578,0.5349100293464989,0.6395540697725198
CPAY,SPGI,-1.9877985331671835,0.5349144802939341,0.33714128703655166
TGT,VEEV,-1.9877793690411105,0.5349244223615701,0.8690014399315227
FITB,TTD,-1.987777378002279,0.5349254552814176,0.4838867180369743
DVA,WY,-1.9877750678614885,0.5349266537459269,0.6774862637064599
ITW,KO,-1.987767699763789,0.534930476195264,0.788381186583471
F,NVDA,-1.987709868205739,0.5349604780968635,0.6936660329738241
ERIE,XOM,-1.9876805067908445,0.534975710118977,-0.005096512623552835
STE,TFC,-1.9876390524193583,0.5349972155538345,0.47704532027500435
DGX,PRU,-1.9876377536262932,0.534997889330912,0.5574717893092919
A,AXP,-1.987610850873209,0.5350118456832648,0.8532224328600683
FTNT,PGR,-1.9875797979166576,0.5350279549567358,0.9165058345802322
MTB,PNW,-1.987512756860366,0.5350627333984741,0.04814866269415312
AKAM,ARES,-1.987498178198896,0.5350702962194419,0.7956738009822545
HPE,NKE,-1.987489969773382,0.535074554410693,0.11711443313406678
REGN,TJX,-1.9874776635498888,0.5350809383583799,0.6551384161832122
FANG,NTAP,-1.9874661951598682,0.5350868876611482,0.6824899859838447
CNP,UNH,-1.9874363226584646,0.5351023841616491,0.4167162455015534
IBKR,WST,-1.9874273732272523,0.5351070267053609,0.3459090138746349
NFLX,WSM,-1.9874203369230363,0.5351106768037143,0.3694233269785367
SYF,VRSN,-1.9874080166535653,0.535117067959873,0.29100904072849504
CAG,PYPL,-1.9873233903492247,0.5351609675945747,0.27749706416703995
AON,BIIB,-1.9872916045434652,0.5351774562150408,-0.45642288130314534
AMCR,GILD,-1.9872896483973317,0.5351784709464564,0.2478420761899965
ADM,CCL,-1.9872809314697537,0.5351829927619914,-0.6527132904141909
CNC,ITW,-1.9872795417244955,0.5351837136772527,0.5563236725658364
CCI,COF,-1.987244249364758,0.5352020211466771,0.531116970214524
CAH,HLT,-1.9872221415965128,0.5352134892166633,0.5534187847147106
BBY,BDX,-1.9872098002509462,0.5352198910834155,0.4526628757265772
CPRT,GRMN,-1.9872042640410175,0.5352227628952801,0.9288365196994239
COP,TRV,-1.9871864732462439,0.5352319915393298,0.7734628818533732
FRT,LNT,-1.9871804010128649,0.5352351413909058,0.1414323303038277
SPG,WEC,-1.9871796775362165,0.5352355166799567,-0.32711353763159523
F,URI,-1.9871607001966285,0.5352453607785131,0.8389182282202751
EQR,FTNT,-1.9871584945219671,0.5352465049240469,0.6242307120237325
HLT,JKHY,-1.9871562909066964,0.5352476480008738,0.634467765111996
ES,PWR,-1.987147109057105,0.5352524108781023,0.690963630032283
BKR,GLW,-1.9871398033408436,0.5352562005480208,0.39095214159147956
MS,NEE,-1.9871353370634957,0.5352585173228305,0.7928531356794549
GILD,HCA,-1.9871289396661511,0.5352618358168926,0.2575615080034634
PM,VLO,-1.987116474298024,0.5352683019122885,0.4881404457800778
ACGL,MET,-1.9871120829099351,0.5352705798307529,0.8548580716771746
FITB,LNT,-1.9870936984013476,0.5352801162977756,0.554791926195522
ECL,RCL,-1.9870914944494804,0.5352812595361791,-0.08824469760690216
DHR,GILD,-1.9870539274191572,0.535300746314529,0.287759840445512
EQIX,NWS,-1.9870137806562074,0.5353215711099699,0.5704571724777613
STLD,WAT,-1.9870120800084379,0.5353224532610794,0.8099092288061722
BR,NI,-1.9869973615360785,0.5353300879389885,0.4368156683338819
MET,RF,-1.9869853410347984,0.5353363231268059,0.9229827961534891
IVZ,XOM,-1.9869565285277793,0.5353512684891191,0.4760458200481784
PCG,UNH,-1.9869375765270283,0.5353610990577001,-0.48992135106329215
CPB,RJF,-1.9869094510421457,0.5353756879322437,0.45338009279563946
IP,MNST,-1.9868804316165587,0.5353907404239283,0.4962203242790196
DPZ,EXC,-1.9868534634745076,0.5354047288376336,0.4638893059372615
DHI,MRK,-1.9868473132754625,0.5354079189453261,0.5979610802998696
SPG,SW,-1.9868083083371328,0.5354281507227671,0.09114021357563662
COO,IRM,-1.9868063964045257,0.5354291424345103,0.5522672449054135
ROL,STT,-1.9867944332912821,0.5354353476455739,0.2288863154805183
FTNT,IP,-1.9867866455068888,0.5354393871259904,0.3970451893785929
HRL,META,-1.986775611504528,0.5354451103920922,0.2943506304290939
EXPE,JNJ,-1.9867743893311864,0.535445744324863,0.31537329248370094
MSCI,PCG,-1.986745599426142,0.5354606774078533,-0.7228503357176187
CL,CPT,-1.9867352119619295,0.5354660652800423,0.7257554428773455
FFIV,SO,-1.98668554406707,0.5354918273760545,0.21305846771769654
AMZN,GDDY,-1.9866699982560903,0.5354998907411199,0.6392545322591543
HBAN,WBD,-1.986659619531705,0.5355052740081667,0.12288447809335425
ROL,SBAC,-1.986648450324469,0.5355110672741349,0.758195834976326
GD,LVS,-1.9866353290760417,0.5355178730139873,-0.3800092002109814
SHW,SYF,-1.9866013346445255,0.535535505200067,0.6040675077709481
AAPL,BRK-B,-1.9865258692354633,0.5355746471182196,0.8234026905363406
ALLE,PGR,-1.9864956720893128,0.5355903094354157,0.6690504810867952
CRM,VRSK,-1.9864604514940984,0.5356085771530715,0.8230426160514712
SNA,TMUS,-1.98645489598849,0.535611458593345,0.7487868218381865
ATO,EL,-1.9864421069645757,0.535618091787747,0.5284852323295165
UAL,VICI,-1.986427314851067,0.5356257638920062,-0.39649142871650134
ES,ISRG,-1.986402881268552,0.5356384366139284,0.7206770682662349
CF,WAT,-1.9863562503842926,0.5356626220360939,0.7090205216415123
DE,RMD,-1.9863198642941986,0.5356814937878969,0.8717170065205199
CIEN,CPAY,-1.986274755114214,0.5357048896266392,0.38708895770351004
SATS,SPGI,-1.986264766282818,0.5357100703004263,-0.6919274010059535
MU,TAP,-1.9862587700307808,0.5357131802319545,-0.1290227135774635
BF-B,RL,-1.9862525965303013,0.5357163820892027,-0.16654109607362205
BR,VRTX,-1.986249847328813,0.535717807948611,0.46528346658791675
FAST,WY,-1.9862239584613361,0.535731235044297,0.6123942993485496
AON,GOOGL,-1.9862076822412695,0.5357396765702331,0.9047216586754717
ETR,PNR,-1.986181578055803,0.5357532152375993,0.37072372907391254
NOW,TRV,-1.9861768200872643,0.5357556829022936,0.5397569929747832
TSN,UAL,-1.9861766046613616,0.5357557946303674,0.012358810206507689
CPAY,DOC,-1.986155930695474,0.5357665169161705,0.653671191438402
BG,MPC,-1.9861472053741673,0.5357710421797292,0.802064762069037
APA,GM,-1.986144564066826,0.5357724120547596,0.20918014510141883
HRL,STT,-1.9861334162410653,0.5357781937028107,-0.12409027348951132
DLR,HRL,-1.9860870257131769,0.5358022533122332,0.7344376825227675
EA,VRSN,-1.9860509872250096,0.5358209438862652,0.202549520659511
CNP,KR,-1.9860420975117137,0.5358255543233036,0.3169888467354961
MU,WELL,-1.986004773921287,0.5358449112306202,0.44323982597131917
CSGP,OKE,-1.9860045110622182,0.5358450475551688,-0.0838290020099152
MCD,STLD,-1.9859939299759066,0.5358505351361378,0.659414437333385
MPC,SATS,-1.9859542643784205,0.5358711064837391,-0.31399397940432544
AMAT,TSLA,-1.9859437190109308,0.5358765754912509,0.9158405953205245
AMGN,BBY,-1.98594044219634,0.5358782749011175,0.6222490443847525
AEE,BXP,-1.985934178680226,0.5358815232606894,-0.13350075857158034
CNC,MSFT,-1.9859049768761874,0.5358966677351907,0.6315239359447072
AKAM,DECK,-1.9858983692086571,0.5359000945554355,0.7822835429945516
